country,year,carbon_total,carbon_per_person,coal,sulfur,greenhouse
Czech Republic,1987,184000,17.8,3.64,1080,220000
Denmark,1987,58400,11.4,1.41,128,82100
Ecuador,1987,15000,1.58,0,70.6,28100
Egypt,1987,74700,1.44,0.0149,313,122000
Finland,1987,57600,11.6,1.03,164,68800
France,1987,380000,6.8,0.328,681,548000
Germany,1987,1030000,13.2,1.8,3700,1310000
Greece,1987,62600,6.23,0.654,269,79400
Hungary,1987,84200,8.04,0.717,643,113000
India,1987,486000,0.593,0.106,1920,1200000
Indonesia,1987,124000,0.722,0.0132,216,1760000
Iran,1987,159000,3.1,0.0183,435,213000
Ireland,1987,30300,8.6,0.985,87,60900
Israel,1987,27100,6.5,0.518,128,32500
Italy,1987,380000,6.67,0.258,1010,470000
Japan,1987,903000,7.34,0.565,403,1110000
Kazakhstan,1987,246000,15.3,2.57,1430,234000
Kuwait,1987,31400,16.2,0,287,51700
Lithuania,1987,33900,9.34,0.257,158,144000
Malaysia,1987,40900,2.48,0.0198,83.5,190000
Mexico,1987,306000,3.87,0.0403,1070,454000
Netherlands,1987,152000,10.3,0.47,132,219000
New Zealand,1987,24200,7.31,0.316,30.5,62100
Norway,1987,33500,8,0.23,36.5,66900
Pakistan,1987,53000,0.54,0.0173,261,149000
Peru,1987,25700,1.24,0.00899,337,62300
Philippines,1987,32500,0.568,0.0163,189,83700
Poland,1987,464000,12.4,2.83,2100,588000
Portugal,1987,31200,3.15,0.189,109,46100
Qatar,1987,11500,27.2,0,11.1,20300
Romania,1987,212000,9.09,0.694,653,272000
Russia,1987,2350000,16.2,1.42,10000,3290000
Saudi Arabia,1987,191000,13.2,0,582,0
Singapore,1987,32500,11.5,0.00416,53.8,0
Slovak Republic,1987,59000,11.3,1.58,307,71800
South Africa,1987,329000,9.59,1.83,1550,0
South Korea,1987,193000,4.63,0.567,602,226000
Spain,1987,190000,4.87,0.463,1070,259000
Sweden,1987,59700,7.09,0.364,114,83800
Switzerland,1987,40200,6.18,0.0617,31,55800
Thailand,1987,56400,1.04,0.0416,267,166000
Trinidad and Tobago,1987,17500,14.7,0,18.4,0
Turkey,1987,129000,2.52,0.271,789,194000
Turkmenistan,1987,43700,12.8,0.0945,84.2,43200
Ukraine,1987,712000,13.9,1.48,1630,727000
United Arab Emirates,1987,47500,31,0,76.3,62300
United Kingdom,1987,572000,10.1,1.23,1940,786000
United States,1987,4680000,19.1,1.85,10100,5740000
Uzbekistan,1987,117000,6.17,0.197,312,94900
Venezuela,1987,111000,6.07,0.0142,243,195000
Vietnam,1987,23300,0.365,0.0539,56.6,95900
Algeria,1988,83800,3.43,0.0405,109,108000
Argentina,1988,121000,3.83,0.0324,199,266000
Australia,1988,261000,15.9,2.15,631,435000
Austria,1988,53000,6.92,0.483,52.7,75000
Azerbaijan,1988,56600,8.07,0.0131,99.6,65200
Bangladesh,1988,13500,0.137,0.00119,51.4,122000
Belarus,1988,123000,12.2,0.242,360,186000
Belgium,1988,99800,10,0.925,177,138000
Brazil,1988,208000,1.45,0.0754,1070,1450000
Bulgaria,1988,86900,9.73,1.08,1110,122000
Canada,1988,456000,17,1.06,1890,623000
Chile,1988,26600,2.07,0.125,907,45200
China,1988,2350000,2.07,0.438,9760,3680000
Colombia,1988,52100,1.64,0.0917,87.5,160000
Czech Republic,1988,181000,17.5,3.69,1030,216000
Denmark,1988,55200,10.8,1.32,125,76400
Ecuador,1988,17200,1.76,0,59.2,29900
Egypt,1988,74400,1.39,0.0159,308,129000
Finland,1988,52100,10.5,1.03,151,72000
France,1988,375000,6.68,0.318,628,534000
Germany,1988,1030000,13.2,1.77,3240,1290000
Greece,1988,67100,6.64,0.731,268,90100
Hungary,1988,78100,7.49,0.679,609,109000
India,1988,526000,0.627,0.112,2040,1310000
Indonesia,1988,133000,0.759,0.0135,224,814000
Iran,1988,175000,3.3,0.0182,462,224000
Ireland,1988,29900,8.52,1,76,61700
Israel,1988,29700,7.01,0.488,135,36900
Italy,1988,386000,6.77,0.241,982,498000
Japan,1988,986000,7.98,0.609,426,1190000
Kazakhstan,1988,252000,15.6,2.66,1490,240000
Kuwait,1988,32900,16.1,0,319,58900
Lithuania,1988,34800,9.52,0.257,150,148000
Malaysia,1988,42900,2.52,0.0153,87,167000
Mexico,1988,306000,3.79,0.0374,1060,462000
Netherlands,1988,146000,9.86,0.559,125,219000
New Zealand,1988,25500,7.64,0.34,30.3,65400
Norway,1988,35900,8.54,0.235,33.8,66700
Pakistan,1988,57700,0.569,0.0176,291,163000
Peru,1988,25000,1.18,0.00865,274,60300
Philippines,1988,37500,0.638,0.0201,205,92300
Poland,1988,445000,11.8,2.74,2090,584000
Portugal,1988,32600,3.29,0.219,102,47700
Qatar,1988,11900,26.8,0,9.99,21400
Romania,1988,212000,9.08,0.749,735,285000
Russia,1988,2420000,16.5,1.39,10100,3380000
Saudi Arabia,1988,202000,13.4,0,543,0
Singapore,1988,36000,12.5,0.00478,59.3,0
Slovak Republic,1988,58000,11.1,1.63,295,74900
South Africa,1988,343000,9.77,1.94,1550,0
South Korea,1988,222000,5.29,0.598,709,258000
Spain,1988,198000,5.06,0.401,894,268000
Sweden,1988,57500,6.79,0.355,112,79800
Switzerland,1988,40700,6.21,0.0523,28,54200
Thailand,1988,66300,1.21,0.0421,295,181000
Trinidad and Tobago,1988,15800,13.2,0,20.4,0
Turkey,1988,125000,2.4,0.258,686,199000
Turkmenistan,1988,44900,12.9,0.079,91.3,46000
Ukraine,1988,731000,14.2,1.39,1610,732000
United Arab Emirates,1988,48100,29.6,0,76.2,64800
United Kingdom,1988,571000,10,1.19,1910,788000
United States,1988,4890000,19.8,1.92,10300,6190000
Uzbekistan,1988,120000,6.19,0.135,326,98600
Venezuela,1988,116000,6.2,0.01,276,190000
Vietnam,1988,23000,0.354,0.0494,58,99100
Algeria,1989,79900,3.18,0.0333,108,110000
Argentina,1989,117000,3.64,0.032,192,266000
Australia,1989,278000,16.6,2.22,766,461000
Austria,1989,53700,6.99,0.484,47.1,74500
Azerbaijan,1989,55300,7.76,0.0129,97.5,64800
Bangladesh,1989,13400,0.133,0.00121,50.8,126000
Belarus,1989,120000,11.9,0.237,334,183000
Belgium,1989,107000,10.7,0.97,163,138000
Brazil,1989,212000,1.45,0.0734,1030,1480000
Bulgaria,1989,86500,9.72,1.11,1090,116000
Canada,1989,463000,17,1.05,1660,794000
Chile,1989,32000,2.45,0.166,1000,51200
China,1989,2390000,2.06,0.451,9790,3800000
Colombia,1989,52800,1.63,0.104,95.8,162000
Czech Republic,1989,172000,16.7,3.54,999,208000
Denmark,1989,48800,9.52,1.08,98.4,72000
Ecuador,1989,20200,2.02,0,52.4,30000
Egypt,1989,72000,1.31,0.0158,299,136000
Finland,1989,52500,10.5,1,122,72700
France,1989,393000,6.97,0.344,710,548000
Germany,1989,1010000,12.8,1.79,3080,1280000
Greece,1989,73300,7.22,0.781,266,94900
Hungary,1989,76000,7.3,0.61,551,106000
India,1989,577000,0.674,0.119,2130,1370000
Indonesia,1989,132000,0.739,0.0199,236,889000
Iran,1989,190000,3.47,0.013,523,240000
Ireland,1989,30100,8.57,1.01,81,63300
Israel,1989,31400,7.25,0.516,136,38400
Italy,1989,405000,7.1,0.252,927,518000
Japan,1989,1020000,8.24,0.607,438,1220000
Kazakhstan,1989,247000,15.1,2.52,1460,242000
Kuwait,1989,35800,17.1,0,309,62700
Lithuania,1989,34100,9.26,0.238,149,149000
Malaysia,1989,50100,2.86,0.0683,101,145000
Mexico,1989,361000,4.38,0.0406,1130,473000
Netherlands,1989,162000,10.9,0.551,102,223000
New Zealand,1989,25500,7.58,0.367,32.3,64200
Norway,1989,34500,8.16,0.205,28.8,66500
Pakistan,1989,60400,0.578,0.0187,297,168000
Peru,1989,21700,1.01,0.0094,313,57800
Philippines,1989,38900,0.645,0.0155,208,94600
Poland,1989,423000,11.2,2.61,1960,559000
Portugal,1989,40900,4.13,0.244,146,56700
Qatar,1989,14300,31,0,20.8,22300
Romania,1989,214000,9.11,0.746,759,279000
Russia,1989,2360000,16.1,1.34,9680,3390000
Saudi Arabia,1989,204000,13,0,545,0
Singapore,1989,41700,14.2,0.00422,61.9,0
Slovak Republic,1989,55400,10.5,1.57,287,73400
South Africa,1989,341000,9.49,1.77,1520,0
South Korea,1989,236000,5.56,0.576,756,270000
Spain,1989,225000,5.75,0.493,1060,289000
Sweden,1989,55600,6.53,0.333,80,77000
Switzerland,1989,39400,5.98,0.0537,24.5,54900
Thailand,1989,77800,1.4,0.0505,354,189000
Trinidad and Tobago,1989,16100,13.3,0,20.9,0
Turkey,1989,138000,2.6,0.285,859,212000
Turkmenistan,1989,43900,12.2,0.0898,86.2,46900
Ukraine,1989,714000,13.9,1.27,1540,730000
United Arab Emirates,1989,54200,31.4,0,74.1,71800
United Kingdom,1989,582000,10.2,1.14,1850,776000
United States,1989,4950000,19.8,1.92,10400,6220000
Uzbekistan,1989,118000,5.9,0.164,319,98900
Venezuela,1989,109000,5.67,0.0269,270,197000
Vietnam,1989,17300,0.261,0.0388,54.1,97300
Algeria,1990,76800,2.98,0.0254,112,106000
Argentina,1990,112000,3.43,0.0287,173,267000
Australia,1990,279000,16.4,2.24,818,482000
Austria,1990,62400,8.08,0.53,40,79800
Azerbaijan,1990,51700,7.14,0.0123,87,78100
Bangladesh,1990,14100,0.137,0.00265,49.9,127000
Belarus,1990,104000,10.3,0.208,319,185000
Belgium,1990,121000,12.1,1.06,178,138000
Brazil,1990,207000,1.39,0.0643,947,1610000
Bulgaria,1990,76600,8.66,0.986,1000,108000
Canada,1990,463000,16.8,0.98,1630,609000
Chile,1990,32900,2.48,0.197,998,54700
China,1990,2420000,2.06,0.45,9520,3890000
Colombia,1990,56900,1.72,0.0466,96.7,174000
Czech Republic,1990,164000,15.9,3.04,938,196000
Denmark,1990,53600,10.4,1.18,88,72500
Ecuador,1990,16700,1.63,0,55.9,30900
Egypt,1990,75300,1.34,0.0132,302,139000
Finland,1990,57000,11.4,1.05,119,75600
France,1990,401000,7.08,0.333,663,555000
Germany,1990,1050000,13.3,1.66,2660,1260000
Greece,1990,83400,8.16,0.787,246,96700
Hungary,1990,73500,7.08,0.6,505,97600
India,1990,617000,0.707,0.126,2220,1390000
Indonesia,1990,150000,0.829,0.0189,281,1170000
Iran,1990,209000,3.72,0.0126,578,284000
Ireland,1990,32900,9.38,0.97,91.5,65600
Israel,1990,35900,8.06,0.527,140,39600
Italy,1990,440000,7.71,0.246,887,509000
Japan,1990,1160000,9.31,0.627,488,1300000
Kazakhstan,1990,267000,16.3,2.34,1300,372000
Kuwait,1990,37800,18.1,0,65.2,0
Lithuania,1990,35800,9.69,0.216,111,54300
Malaysia,1990,56900,3.16,0.0735,128,199000
Mexico,1990,317000,3.78,0.0395,1160,494000
Netherlands,1990,163000,10.9,0.584,102,224000
New Zealand,1990,25500,7.5,0.353,30.5,65700
Norway,1990,35400,8.32,0.191,26,67500
Pakistan,1990,67900,0.631,0.0192,342,173000
Peru,1990,21000,0.95,0.00664,280,59500
Philippines,1990,41400,0.669,0.0173,206,96400
Poland,1990,377000,9.94,2.07,1610,474000
Portugal,1990,45700,4.62,0.286,161,58200
Qatar,1990,11800,24.7,0,12.8,22000
Romania,1990,170000,7.22,0.542,656,247000
Russia,1990,2530000,17.1,1.24,8780,3590000
Saudi Arabia,1990,186000,11.4,0,568,0
Singapore,1990,44300,14.7,0.00712,95.4,0
Slovak Republic,1990,61600,11.7,1.48,271,72300
South Africa,1990,313000,8.51,1.79,1520,349000
South Korea,1990,248000,5.77,0.568,853,301000
Spain,1990,231000,5.9,0.489,1090,293000
Sweden,1990,57500,6.71,0.347,53,77200
Switzerland,1990,44200,6.64,0.0533,22.5,56400
Thailand,1990,89400,1.58,0.0689,482,208000
Trinidad and Tobago,1990,17000,13.9,0,19.2,0
Turkey,1990,152000,2.81,0.297,797,224000
Turkmenistan,1990,41100,11.1,0.0999,83.1,81300
Ukraine,1990,706000,13.7,1.46,1890,953000
United Arab Emirates,1990,51700,28.3,0,77.2,72500
United Kingdom,1990,601000,10.5,1.14,1860,777000
United States,1990,5130000,20.3,1.91,10500,6140000
Uzbekistan,1990,110000,5.39,0.16,285,169000
Venezuela,1990,122000,6.21,0.0233,264,210000
Vietnam,1990,21200,0.312,0.0326,56.5,99100
Algeria,1991,78900,2.99,0.0256,122,112000
Argentina,1991,117000,3.54,0.0221,169,267000
Australia,1991,280000,16.3,2.26,839,499000
Austria,1991,66000,8.49,0.553,38.5,83300
Azerbaijan,1991,51000,6.93,0.00911,95.8,79000
Bangladesh,1991,14800,0.14,0.00083,51.5,127000
Belarus,1991,97100,9.56,0.197,326,182000
Belgium,1991,124000,12.3,1,177,143000
Brazil,1991,217000,1.43,0.0724,942,1570000
Bulgaria,1991,61200,6.98,0.878,833,85700
Canada,1991,453000,16.2,0.937,1810,626000
Chile,1991,31200,2.31,0.159,984,52900
China,1991,2540000,2.13,0.465,9200,4040000
Colombia,1991,56700,1.68,0.0575,103,172000
Czech Republic,1991,149000,14.4,2.79,888,178000
Denmark,1991,64200,12.5,1.6,118,83000
Ecuador,1991,16400,1.57,0,60.5,32000
Egypt,1991,77400,1.35,0.0133,298,142000
Finland,1991,55300,11,1.05,97,75500
France,1991,427000,7.5,0.353,722,581000
Germany,1991,1020000,12.8,1.45,2000,1220000
Greece,1991,83400,8.09,0.751,267,95700
Hungary,1991,69800,6.74,0.584,457,90200
India,1991,657000,0.737,0.131,2340,1440000
Indonesia,1991,181000,0.979,0.0188,311,2210000
Iran,1991,226000,3.92,0.0177,586,310000
Ireland,1991,33600,9.57,0.929,90,66000
Israel,1991,36200,7.88,0.553,152,40300
Italy,1991,440000,7.7,0.242,828,506000
Japan,1991,1170000,9.37,0.62,485,1320000
Kazakhstan,1991,257000,15.7,2.29,1230,363000
Kuwait,1991,14900,7.35,0,4660,47200
Lithuania,1991,37900,10.3,0.241,117,56200
Malaysia,1991,68300,3.69,0.0843,116,200000
Mexico,1991,330000,3.86,0.0375,1130,505000
Netherlands,1991,171000,11.3,0.534,86.5,232000
New Zealand,1991,26100,7.59,0.331,30,65400
Norway,1991,33800,7.93,0.169,22,64300
Pakistan,1991,67500,0.61,0.0185,343,176000
Peru,1991,20200,0.896,0.0126,316,57300
Philippines,1991,43500,0.686,0.0189,209,96200
Poland,1991,375000,9.84,2.04,1580,460000
Portugal,1991,47300,4.77,0.299,154,60300
Qatar,1991,17700,36.2,0,12.8,23300
Romania,1991,140000,5.97,0.437,521,205000
Russia,1991,2400000,16.2,1.13,8080,3390000
Saudi Arabia,1991,268000,16,0,500,0
Singapore,1991,45100,14.5,0.0041,99.7,0
Slovak Republic,1991,53400,10.1,1.31,223,63400
South Africa,1991,326000,8.65,1.72,1550,343000
South Korea,1991,262000,6.05,0.566,738,329000
Spain,1991,241000,6.13,0.508,1080,301000
Sweden,1991,57700,6.69,0.315,49.5,78800
Switzerland,1991,46200,6.87,0.0448,20.5,57900
Thailand,1991,98300,1.72,0.0798,552,220000
Trinidad and Tobago,1991,17000,13.8,0,20.5,0
Turkey,1991,158000,2.88,0.312,808,227000
Turkmenistan,1991,35600,9.39,0.085,72.6,74800
Ukraine,1991,633000,12.3,1.21,1270,885000
United Arab Emirates,1991,56700,29.3,0,76.7,80000
United Kingdom,1991,609000,10.6,1.13,1770,783000
United States,1991,5080000,19.9,1.88,10200,6070000
Uzbekistan,1991,113000,5.4,0.149,196,172000
Venezuela,1991,115000,5.73,0,283,208000
Vietnam,1991,21300,0.306,0.0308,57,101000
Algeria,1992,79900,2.96,0.0297,130,122000
Argentina,1992,121000,3.61,0.0193,175,272000
Australia,1992,285000,16.4,2.24,889,487000
Austria,1992,60500,7.72,0.427,30.5,79200
Azerbaijan,1992,56200,7.52,0.00161,105,0
Bangladesh,1992,15400,0.143,0.00076,54.6,129000
Belarus,1992,90100,8.87,0.164,229,170000
Belgium,1992,123000,12.2,0.914,174,141000
Brazil,1992,219000,1.42,0.0691,972,1650000
Bulgaria,1992,57000,6.57,0.871,558,80500
Canada,1992,467000,16.5,0.943,1570,619000
Chile,1992,32200,2.35,0.135,1100,55400
China,1992,2660000,2.2,0.481,8870,4170000
Colombia,1992,61500,1.79,0.0945,105,178000
Czech Republic,1992,145000,14,2.49,769,167000
Denmark,1992,58400,11.3,1.33,90,76800
Ecuador,1992,22200,2.07,0,64.2,33100
Egypt,1992,80000,1.36,0.0133,281,148000
Finland,1992,54300,10.8,0.949,70.5,71800
France,1992,416000,7.28,0.31,631,564000
Germany,1992,967000,12.1,1.3,1650,1160000
Greece,1992,85000,8.16,0.782,272,96900
Hungary,1992,62500,6.03,0.505,414,79800
India,1992,699000,0.769,0.137,2430,1490000
Indonesia,1992,204000,1.09,0.0225,316,2100000
Iran,1992,227000,3.86,0.0153,549,329000
Ireland,1992,33500,9.48,0.881,85,65900
Israel,1992,42100,8.86,0.657,160,43000
Italy,1992,438000,7.66,0.214,779,504000
Japan,1992,1180000,9.42,0.607,465,1330000
Kazakhstan,1992,233000,14.3,2.31,1260,366000
Kuwait,1992,29700,15.5,0,61.5,37600
Lithuania,1992,21200,5.75,0.113,69.5,38100
Malaysia,1992,74400,3.92,0.0863,110,254000
Mexico,1992,333000,3.82,0.0372,1120,495000
Netherlands,1992,171000,11.3,0.529,83.5,231000
New Zealand,1992,28100,8.03,0.359,32.5,67100
Norway,1992,34800,8.1,0.169,18,64300
Pakistan,1992,72100,0.633,0.0185,378,185000
Peru,1992,20300,0.885,0.0121,333,59400
Philippines,1992,48300,0.743,0.0184,215,102000
Poland,1992,365000,9.55,1.97,1410,453000
Portugal,1992,51600,5.18,0.302,187,64300
Qatar,1992,27000,54.5,0,13.6,0
Romania,1992,131000,5.6,0.46,476,186000
Russia,1992,1960000,13.2,1.06,7130,3130000
Saudi Arabia,1992,285000,16.5,0,513,0
Singapore,1992,48300,15.1,0.00579,102,0
Slovak Republic,1992,49000,9.2,1.16,190,59300
South Africa,1992,302000,7.8,1.69,1410,354000
South Korea,1992,282000,6.44,0.539,671,355000
Spain,1992,250000,6.33,0.516,1070,308000
Sweden,1992,57400,6.61,0.295,46.5,79800
Switzerland,1992,46100,6.78,0.0307,18,57500
Thailand,1992,108000,1.87,0.0845,600,238000
Trinidad and Tobago,1992,19100,15.5,0,20.4,0
Turkey,1992,164000,2.94,0.306,807,238000
Turkmenistan,1992,32000,8.21,0.0354,84,56300
Ukraine,1992,590000,11.5,1.25,1190,804000
United Arab Emirates,1992,57800,28.2,0,73,78800
United Kingdom,1992,594000,10.3,1.06,1730,761000
United States,1992,5180000,20.2,1.87,10000,6140000
Uzbekistan,1992,111000,5.2,0.0944,164,163000
Venezuela,1992,106000,5.14,0.00018,278,213000
Vietnam,1992,21300,0.301,0.0303,67.5,105000
Algeria,1993,82000,2.97,0.0237,135,122000
Argentina,1993,118000,3.46,0.0225,169,277000
Australia,1993,289000,16.4,2.23,915,479000
Austria,1993,60900,7.71,0.381,29.5,79400
Azerbaijan,1993,48400,6.39,0.0004,101,52500
Bangladesh,1993,16100,0.146,0.00028,62.3,129000
Belarus,1993,77700,7.66,0.142,191,153000
Belgium,1993,122000,12,0.839,161,139000
Brazil,1993,229000,1.46,0.07,1020,1770000
Bulgaria,1993,57600,6.72,0.949,713,78800
Canada,1993,467000,16.4,0.827,1300,656000
Chile,1993,34300,2.46,0.134,1020,58400
China,1993,2840000,2.33,0.507,9300,4400000
Colombia,1993,63400,1.81,0.0974,112,189000
Czech Republic,1993,139000,13.4,2.38,710,158000
Denmark,1993,60700,11.7,1.39,72.5,79300
Ecuador,1993,24100,2.2,0,57.8,33600
Egypt,1993,92400,1.54,0.0157,295,151000
Finland,1993,56400,11.1,1.08,61,73500
France,1993,396000,6.9,0.252,547,541000
Germany,1993,957000,11.9,1.22,1470,1150000
Greece,1993,84300,8,0.773,272,96300
Hungary,1993,63600,6.14,0.469,379,79300
India,1993,723000,0.78,0.139,2520,1520000
Indonesia,1993,220000,1.15,0.0258,344,1400000
Iran,1993,236000,3.95,0.0186,596,328000
Ireland,1993,33700,9.5,0.852,80.5,66300
Israel,1993,44300,8.98,0.716,167,46700
Italy,1993,431000,7.53,0.186,727,496000
Japan,1993,1170000,9.34,0.617,444,1330000
Kazakhstan,1993,205000,12.7,2.11,1180,327000
Kuwait,1993,49200,27.7,0,80.8,46200
Lithuania,1993,16300,4.45,0.101,62.5,31700
Malaysia,1993,90800,4.66,0.0703,123,236000
Mexico,1993,338000,3.82,0.0411,1090,502000
Netherlands,1993,171000,11.2,0.53,80,234000
New Zealand,1993,27700,7.78,0.348,33.5,66900
Norway,1993,36300,8.4,0.182,17.5,67300
Pakistan,1993,77200,0.66,0.0189,401,195000
Peru,1993,23500,1,0.0125,359,62900
Philippines,1993,49000,0.735,0.0182,231,106000
Poland,1993,365000,9.54,1.94,1360,449000
Portugal,1993,50200,5.02,0.327,160,63300
Qatar,1993,31000,61.8,0,13.4,0
Romania,1993,123000,5.29,0.436,464,175000
Russia,1993,1860000,12.5,0.955,6260,3010000
Saudi Arabia,1993,314000,17.7,0,450,0
Singapore,1993,50900,15.4,0.00623,114,0
Slovak Republic,1993,46500,8.69,1.14,163,56000
South Africa,1993,321000,8.1,1.65,1530,348000
South Korea,1993,322000,7.27,0.584,661,385000
Spain,1993,241000,6.1,0.463,1010,294000
Sweden,1993,57400,6.56,0.312,43.5,79900
Switzerland,1993,43600,6.35,0.0254,14.5,54900
Thailand,1993,121000,2.08,0.0933,579,246000
Trinidad and Tobago,1993,17900,14.4,0,17.9,0
Turkey,1993,171000,3.02,0.279,804,245000
Turkmenistan,1993,27500,6.87,0,51.7,57800
Ukraine,1993,511000,9.95,1.1,1100,712000
United Arab Emirates,1993,65600,30.2,0,69,81300
United Kingdom,1993,580000,10.1,0.924,1560,734000
United States,1993,5290000,20.4,1.92,9880,6280000
Uzbekistan,1993,116000,5.3,0.0629,156,163000
Venezuela,1993,124000,5.9,0.00134,267,225000
Vietnam,1993,22700,0.314,0.0287,67.1,109000
Algeria,1994,86200,3.06,0.0219,135,119000
Argentina,1994,122000,3.55,0.0314,174,271000
Australia,1994,294000,16.5,2.25,950,522000
Austria,1994,61200,7.71,0.384,26.5,79800
Azerbaijan,1994,42000,5.46,0.00052,107,48500
Bangladesh,1994,17600,0.156,0.00025,65.8,131000
Belarus,1994,64400,6.37,0.0994,162,140000
Belgium,1994,125000,12.3,0.883,141,144000
Brazil,1994,240000,1.5,0.0707,1030,1460000
Bulgaria,1994,56000,6.61,0.894,740,76800
Canada,1994,482000,16.7,0.868,1260,807000
Chile,1994,37800,2.67,0.156,1060,62300
China,1994,3010000,2.45,0.535,9200,4610000
Colombia,1994,66800,1.87,0.11,108,170000
Czech Republic,1994,132000,12.8,2.2,635,151000
Denmark,1994,64700,12.4,1.49,72.5,82900
Ecuador,1994,13500,1.21,0,63,36600
Egypt,1994,84600,1.39,0.0166,284,147000
Finland,1994,61800,12.1,1.31,57.5,80800
France,1994,391000,6.79,0.247,521,538000
Germany,1994,941000,11.6,1.18,1240,1140000
Greece,1994,86500,8.12,0.793,256,97400
Hungary,1994,61900,5.98,0.457,371,78500
India,1994,765000,0.809,0.14,2650,1580000
Indonesia,1994,223000,1.15,0.0254,324,2160000
Iran,1994,264000,4.35,0.0185,630,364000
Ireland,1994,34800,9.76,0.811,87.5,67800
Israel,1994,47500,9.31,0.732,176,50100
Italy,1994,425000,7.43,0.198,680,493000
Japan,1994,1230000,9.75,0.645,472,1390000
Kazakhstan,1994,171000,10.7,2.09,1090,289000
Kuwait,1994,55300,33.3,0,121,54800
Lithuania,1994,15800,4.32,0.0842,58.5,30200
Malaysia,1994,93100,4.66,0.0762,126,228000
Mexico,1994,352000,3.9,0.0487,1250,520000
Netherlands,1994,172000,11.2,0.561,73,234000
New Zealand,1994,27900,7.7,0.323,34,68100
Norway,1994,38100,8.78,0.204,17.5,70000
Pakistan,1994,84100,0.699,0.0183,447,201000
Peru,1994,23100,0.97,0.0151,368,57500
Philippines,1994,54200,0.794,0.0172,232,117000
Poland,1994,361000,9.4,1.8,1300,449000
Portugal,1994,50900,5.07,0.339,149,64500
Qatar,1994,30700,60.6,0,13,0
Romania,1994,122000,5.28,0.451,456,171000
Russia,1994,1640000,11.1,0.835,5300,2710000
Saudi Arabia,1994,308000,16.9,0,406,0
Singapore,1994,61400,18,0.00725,117,0
Slovak Republic,1994,43900,8.18,1.02,120,54000
South Africa,1994,339000,8.36,1.67,1560,356000
South Korea,1994,345000,7.69,0.596,627,418000
Spain,1994,254000,6.4,0.476,982,306000
Sweden,1994,59800,6.8,0.334,43.5,82400
Switzerland,1994,42700,6.16,0.0255,15,54800
Thailand,1994,135000,2.29,0.107,558,260000
Trinidad and Tobago,1994,17400,13.9,0,16,0
Turkey,1994,168000,2.91,0.275,827,241000
Turkmenistan,1994,33500,8.13,0.00122,38.2,55800
Ukraine,1994,420000,8.2,0.911,858,607000
United Arab Emirates,1994,72700,31.7,0,70.3,88000
United Kingdom,1994,576000,9.97,0.86,1340,729000
United States,1994,5380000,20.5,1.91,9690,6370000
Uzbekistan,1994,108000,4.84,0.0628,138,157000
Venezuela,1994,130000,6.04,0.00255,304,212000
Vietnam,1994,26000,0.354,0.0311,68.2,114000
Algeria,1995,95100,3.31,0.0215,145,124000
Argentina,1995,128000,3.67,0.0278,165,275000
Australia,1995,306000,17,2.3,898,489000
Austria,1995,64300,8.05,0.434,26,82500
Azerbaijan,1995,33300,4.29,0.00039,131,42500
Bangladesh,1995,21100,0.183,0.0027,69.7,137000
Belarus,1995,58000,5.76,0.0939,138,130000
Belgium,1995,126000,12.4,0.849,128,147000
Brazil,1995,256000,1.58,0.073,1030,1570000
Bulgaria,1995,57600,6.88,0.91,738,81800
Canada,1995,495000,17,0.898,1310,836000
Chile,1995,41100,2.86,0.166,1310,66400
China,1995,3270000,2.63,0.537,9460,5040000
Colombia,1995,58800,1.62,0.0964,115,179000
Czech Republic,1995,132000,12.7,2.19,546,151000
Denmark,1995,61600,11.8,1.24,68,79500
Ecuador,1995,22700,1.98,0,63.5,39000
Egypt,1995,95000,1.52,0.0109,272,156000
Finland,1995,58200,11.4,1.15,48.5,77400
France,1995,398000,6.88,0.252,489,543000
Germany,1995,940000,11.6,1.12,969,1130000
Greece,1995,87000,8.1,0.778,268,99300
Hungary,1995,61700,5.96,0.447,353,77400
India,1995,812000,0.843,0.146,2810,1650000
Indonesia,1995,227000,1.15,0.0275,342,1320000
Iran,1995,271000,4.42,0.017,617,370000
Ireland,1995,35800,9.98,0.811,80.5,68400
Israel,1995,49900,9.47,0.774,185,53300
Italy,1995,452000,7.9,0.214,644,518000
Japan,1995,1240000,9.82,0.667,458,1420000
Kazakhstan,1995,163000,10.3,1.7,1060,247000
Kuwait,1995,54600,34,0,119,57200
Lithuania,1995,15000,4.14,0.0677,47,29200
Malaysia,1995,120000,5.86,0.0814,133,252000
Mexico,1995,332000,3.62,0.0533,1100,516000
Netherlands,1995,173000,11.2,0.576,71,235000
New Zealand,1995,28000,7.63,0.33,35,69600
Norway,1995,38700,8.87,0.221,16.5,70600
Pakistan,1995,83700,0.676,0.018,454,209000
Peru,1995,23700,0.975,0.0155,362,63400
Philippines,1995,60000,0.86,0.0202,238,126000
Poland,1995,363000,9.43,1.83,1190,459000
Portugal,1995,54900,5.44,0.414,167,69200
Qatar,1995,31700,61.8,0,13.2,0
Romania,1995,127000,5.53,0.47,456,177000
Russia,1995,1610000,10.9,0.805,4890,2650000
Saudi Arabia,1995,235000,12.6,0,359,262000
Singapore,1995,41900,11.9,0.00329,115,0
Slovak Republic,1995,44300,8.24,1,120,53800
South Africa,1995,362000,8.74,1.7,1620,371000
South Korea,1995,374000,8.26,0.621,610,454000
